Title,Director,Cast(Subject of documentary),Genre,Notes
,,,,Preceded byResident Evil: Afterlife(2010)
Rise of the Guardians,"Peter Ramsey,William Joyce(co-director)","Chris Pine, Isla Fisher, Hugh Jackman, Alec Baldwin, Jude Law, Dakota Goyo","Action-adventure, Animated, Family","Paramount Pictures,DreamWorks Animation",21-Nov
,,,,Based on The Guardians of Childhoodbook series by William Joyce
Robot & Frank,Jake Schreier,"Frank Langella, James Marsden, Liv Tyler, Jeremy Strong, Jeremy Sisto, with Peter Sarsgaard(voice) and Susan Sarandon",Dramedy,"Samuel Goldwyn Films, Stage 6 Films",17-Aug
Rock of Ages,Adam Shankman,"Julianne Hough, Diego Boneta, Russell Brand, Paul Giamatti, Catherine Zeta-Jones, Malin Åkerman, Mary J. Blige, with Alec Baldwin and Tom Cruise","Musical, Romantic comedy",New Line Cinema,15-Jun
,,,,Based on the 2006 Broadway musical of thesame name by Chris D'Arienzo
Ruby Sparks,Jonathan Dayton and Valerie Faris,"Paul Dano, Zoe Kazan, Antonio Banderas, Annette Bening, Steve Coogan, Elliott Gould, Chris Messina, Alia Shawkat, Deborah Ann Woll",Romantic comedy,Fox Searchlight Pictures,25-Jul
Safe,Boaz Yakin,"Jason Statham, Catherine Chan, Chris Sarandon, Anson Mount, Robert John Burke, James Hong, Reggie Lee, Danny Hoch, Danni Lang, Igor Jijikine, David Kim",Action,Lionsgate,April 27
Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick",Action thriller,"Universal Pictures,Relativity Media",10-Feb
Safety Not Guaranteed,Colin Trevorrow,"Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni, Jenica Bergere, Kristen Bell, Jeff Garlin, Mary Lynn Rajskub",Comedy,FilmDistrict,8-Jun
Samsara,Ron Fricke,"Exploring the wonders of the world from the mundane to the miraculous, looking into the unfathomable reaches of man's spirituality and the human experience.",Documentary,Oscilloscope Laboratories,24-Aug
,,,,Preceded byBaraka (1992)
Savages,Oliver Stone,"Taylor Kitsch, Aaron Johnson, Blake Lively, Uma Thurman, Salma Hayek, Benicio del Toro,Emile Hirsch, John Travolta, Joel David Moore, Demián Bichir, Mía Maestro, Trevor Donovan,Sandra Echeverría, Gillian Zinser",Crime thriller,"Universal Pictures,Relativity Media",6-Jul
,,,,Based on the novel of the same name byDon Winslow
Seeking a Friend for the End of the World,Lorene Scafaria,"Steve Carell, Keira Knightley, Adam Brody, Derek Luke, William Petersen, Connie Britton,Patton Oswalt, Melanie Lynskey, Rob Corddry, Melinda Dillon, Rob Huebel, Gillian Jacobs, T. J. Miller, Amy Schumer, Jim O'Heir",Comedy,"Focus Features,Mandate Pictures,Indian Paintbrush",22-Jun
Silent Hill: Revelation 3D,Michael J. Bassett,"Adelaide Clemens, Kit Harington, Deborah Kara Unger, Martin Donovan and Malcolm McDowell, with Carrie-Anne Moss and Sean Bean, Radha Mitchell, Heather Marks",Horror-thriller,Open Road Films,26-Oct
,,,,Based onSilent Hill 3created byKonami
,,,,Preceded bySilent Hill(2006)
Silent House,Chris Kentis and Laura Lau,"Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens, Julia Taylor Ross, Haley Murphy",Horror,Open Road Films,9-Mar
,,,,Based on The Silent Houseby Oscar Estevez
Silver Linings Playbook,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Anupam Kher, Julia Stilesand Chris Tucker","Comedy-drama, Romance",The Weinstein Company,21-Nov
,,,,Based on the novel of thesame name
Sinister,Scott Derrickson,"Ethan Hawke, Juliet Rylance, Fred Thompson, James Ransone, Clare Foley, Michael Hall D'Addario, Vincent D'Onofrio",Supernatural horror,Summit Entertainment,12-Oct
Sleepwalk with Me,Mike Birbiglia,"Mike Birbiglia, Lauren Ambrose, Cristin Milioti, with James Rebhorn and Carol Kane, Marylouise Burke, Loudon Wainwright III, Aya Cash, David Wain, Marc Maron, Sondra James, Kristen Schaal, Jessi Klein, Wyatt Cenac",Comedy,IFC Films,24-Aug
Smashed,James Ponsoldt,"Mary Elizabeth Winstead, Aaron Paul, Nick Offerman, Megan Mullally, Kyle Gallner, with Mary Kay Place and Octavia Spencer, Bree Turner, Mackenzie Davis, Patti Allison, Richmond Arquette, Natalie Dreyfuss",Dramatic comedy,Sony Pictures Classics,12-Oct
Snow White & the Huntsman,Rupert Sanders,"Kristen Stewart, Charlize Theron, Chris Hemsworth, Sam Claflin, Ian McShane, Bob Hoskins,Ray Winstone, Nick Frost, Toby Jones, Johnny Harris, Eddie Marsan, Brian Gleeson, Lily Cole,Sam Spruell, Vincent Regan, Noah Huntley","Action, Fantasy",Universal Pictures,1-Jun
,,,,Based onSnow Whiteby The Brothers Grimm
Sound of My Voice,Zal Batmanglij,"Christopher Denham, Nicole Vicius, Brit Marling, Avery Pohl",Psychological thriller,Fox Searchlight Pictures,April 27
Sparkle,Salim Akil,"Jordin Sparks, Whitney Houston, Derek Luke, Mike Epps, Carmen Ejogo, Tika Sumpter, Omari Hardwick and Cee Lo Green","Drama, Musical",TriStar Pictures,17-Aug
Star Wars: Episode I: The Phantom Menace3D,George Lucas,"Liam Neeson, Ewan McGregor, Jake Lloyd, Ahmed Best, Pernilla August, Ian McDiarmid,Anthony Daniels, Kenny Baker, Frank Oz, Ray Park, Silas Carson, Sofia Coppola, Keira Knightley, Samuel L. Jackson",Sci-fi,"20th Century Fox, Lucasfilm",10-Feb
Step Up Revolution,Scott Speer,"Ryan Guzman, Kathryn McCormick, Misha Gabriel, Cleopatra Coleman, Stephen ""tWitch"" Boss,Adam G. Sevani, Tommy Dewey and Peter Gallagher","Dance, Drama, Romance",Summit Entertainment,27-Jul
,,,,Preceded byStep Up 3D(2010)
Stolen,Simon West,"Nicolas Cage, Danny Huston, Malin Åkerman, Sami Gayle, Mark Valley and Josh Lucas",Action thriller,Millennium Films,14-Sep
Taken 2,Olivier Megaton,"Liam Neeson, Maggie Grace, Famke Janssen and Rade ?erbed?ija, Leland Orser, Jon Gries,D. B. Sweeney, Luke Grimes, Aclan Bates, Kevork Malikyan",Action thriller,"20th Century Fox,EuropaCorp",5-Oct
,,,,Preceded byTaken (2008)
Ted,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane (voice), Giovanni Ribisi, Joel McHale, Patrick Warburton, Jessica Stroup, Laura Vandervoort, Ralph Garman","Comedy,Live-action","Universal Pictures,Fuzzy Door Productions,Media Rights Capital",29-Jun
That's My Boy,Sean Anders,"Adam Sandler, Andy Samberg, Leighton Meester, Eva Amurri, Susan Sarandon, James Caan,Milo Ventimiglia, Will Forte, Colin Quinn, Todd Bridges, Vanilla Ice, Ian Ziering, Rex Ryan,Luenell, Ciara, Peggy Stewart, Tony Orlando, Alan Thicke, Dan Patrick, Blake Clark, Nick Swardson, Ana Gasteyer, Baron Davis",Comedy,"Columbia Pictures,Happy Madison Productions,Relativity Media",15-Jun
The Grey,Joe Carnahan,"Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts, Joe Anderson, Nonso Anozie withJames Badge Dale","Action thriller,Adventure drama","Open Road Films, Scott Free Productions",27-Jan
,,,,Based on the short storyGhost Walkerby Ian MacKenzie Jeffers
The Guilt Trip,Anne Fletcher,"Barbra Streisand, Seth Rogen",Comedy,"Paramount Pictures,Skydance Productions",19-Dec
The Hunger Games,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks,Lenny Kravitz, with Stanley Tucci and Donald Sutherland, Willow Shields, Paula Malcomson,Amandla Stenberg, Alexander Ludwig, Dayo Okeniyi, Isabelle Fuhrman, Jacqueline Emerson,Leven Rambin, Jack Quaid, Toby Jones, Wes Bentley, Latarsha Rose","Action drama, Science fiction",Lionsgate,23-Mar
,,,,Based on the novel of thesame name bySuzanne Collins
The Loneliest Planet,Julia Loktev,"Gael García Bernal, Hani Furstenberg, Bidzina Gujabidze",Thriller,Sundance Selects,26-Oct
,,,,Based onExpensive Trips Nowhereby Tom Bissell
The Lucky One,Scott Hicks,"Zac Efron, Taylor Schilling, Jay R. Ferguson and Blythe Danner",Romantic drama,"Warner Bros. Pictures,Village Roadshow Pictures",April 20
,,,,Based on the novel of thesame name byNicholas Sparks
The Magic of Belle Isle,Rob Reiner,"Morgan Freeman, Virginia Madsen, Kenan Thompson",Drama,Magnolia Pictures,6-Jul
The Man with the Iron Fists,RZA,"Russell Crowe, Cung Le, Lucy Liu, Byron Mann, RZA, Rick Yune, David Bautista, Jamie Chung",Martial arts,"Universal Pictures,Strike Entertainment",2-Nov
The Master,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams",Drama,The Weinstein Company,14-Sep
The Odd Life of Timothy Green,Peter Hedges,"Jennifer Garner, Joel Edgerton, CJ Adams, Ron Livingston, Dianne Wiest, Odeya Rush,Rosemarie DeWitt, Lin-Manuel Miranda, M. Emmet Walsh, Michael Arden, Lois Smith, David Morse, Common, Rhoda Griffis, Sharon Morris, Jason Davis, Cullen Moss","Dramedy, Fantasy",Walt Disney Pictures,15-Aug
The Oogieloves in the Big Balloon Adventure,Matthew Diamond,"Toni Braxton, Cloris Leachman, Christopher Lloyd, Chazz Palminteri, Cary Elwes and Jaime Pressly, Maya Stange","Family, Musical",Kenn Viselman Presents,29-Aug
The Oranges,Julian Farino,"Hugh Laurie, Catherine Keener, Oliver Platt, Allison Janney, Alia Shawkat, Adam Brody andLeighton Meester",Romantic comedy,"ATO Pictures, Likely Story, Olympic Pictures",5-Oct
The Paperboy,Lee Daniels,"Matthew McConaughey, Zac Efron, John Cusack and Nicole Kidman, David Oyelowo, Macy Gray (narrator), Scott Glenn, Nikolette Noel, Ned Bellamy",Drama,"Millennium Films, Nu Image Films",5-Oct
,,,,Based on the novel of thesame name byPete Dexter
The Perks of Being a Wallflower,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Mae Whitman, Kate Walsh, Dylan McDermott, withJoan Cusack and Paul Rudd","Dramedy,Teen",Summit Entertainment,21-Sep
,,,,Based on the novel of thesame name by Stephen Chbosky
The Possession,Ole Bornedal,"Natasha Callis, Jeffrey Dean Morgan, Kyra Sedgwick, Madison Davenport, Grant Show,Matisyahu",Supernatural horror,"Lionsgate,Ghost House Pictures",31-Aug
The Queen of Versailles,Lauren Greenfield,The "riches to rags" trajectory of high-living former model Jackie Siegel and her attempt to build a Florida version of France's Palace of Versailles.,Documentary,Magnolia Pictures,20-Jul
The Raven,James McTeigue,"John Cusack, Alice Eve, Oliver Jackson-Cohen, Luke Evans, Brendan Gleeson, Kevin McNally,Pam Ferris, Sergej Trifunovic, Ian Virgo, Sam Hazeldine, Brendan Coyle, M. Emmet Walsh",Thriller,"Rogue,Relativity Media",April 27
The Sessions,Ben Lewin,"John Hawkes, Helen Hunt, Moon Bloodgood, Annika Marks, Rhea Perlman, with Adam Arkin andWilliam H. Macy, W. Earl Brown, Blake Lindsley, Robin Weigert, Rusty Schwimmer, Jenni Baird",Drama,Fox Searchlight Pictures,26-Oct
The Swan Princess Christmas,Richard Rich,"Yuri Lowenthal, Elle Deets, David Lodge, G. K. Bowes, Doug Stone, Brian Nissen, Clayton James Mackay, James Arrington, Joey Lotsko","Animated, Family, 3D",Preceded byThe Swan Princess: The Mystery of the Enchanted Kingdom(1998),6-Nov
,,,,Direct-to-video
The Tall Man,Pascal Laugier,"Jessica Biel, Jodelle Ferland, William B. Davis, Samantha Ferris, Colleen Wheeler, Garwin Sanford, Janet Wright, Eve Harlow, John Mann, Teach Grant, Ferne Downey, introducing Jakob Davies and Stephen McHattie","Horror, Mystery",Image Entertainment,31-Aug
The Three Stooges,Farrelly brothers,"Chris Diamantopoulos, Will Sasso, Sean Hayes, Jane Lynch, Larry David, Brian Doyle-Murray,Sofía Vergara, Jennifer Hudson, Lin Shaye, Stephen Collins, Carly Craig, Craig Bierko, Kirby Heyborne, Isaiah Mustafa, Dwight Howard, Kate Upton",Comedy,20th Century Fox,April 13
,,,,Based on the original comedy shorts of the same name
The Vow,Michael Sucsy,"Channing Tatum, Rachel McAdams, Sam Neill, Scott Speedman and Jessica Lange",Romantic drama,"Spyglass Entertainment,Screen Gems",10-Feb
The Watch,Akiva Schaffer,"Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade, Rosemarie DeWitt, Nicholas Braun, Will Forte, Erin Moriarty, Billy Crudup, Doug Jones",Sci-fi comedy,20th Century Fox,27-Jul
The Words,"Brian Klugman, Lee Sternthal","Bradley Cooper, Jeremy Irons, Dennis Quaid, Olivia Wilde and Zoe Saldana, Ben Barnes, Nora Arnezeder",Drama,CBS Films,7-Sep
Think Like a Man,Tim Story,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall, Kevin Hart, Taraji P. Henson, Terrence J, Romany Malco, Gabrielle Union, Steve Harvey, Gary Owen, Chris Brown, Wendy Williams,Tony Rock, La La Anthony, Sherri Shepherd, Tika Sumpter, Keri Hilson, Kelly Rowland, Jenifer Lewis",Romantic comedy,Screen Gems,April 20
,,,,"Based on the self-help bookAct Like a Lady, Think Like a Man by Steve Harvey"
This Is 40,Judd Apatow,"Leslie Mann, Paul Rudd, John Lithgow, Megan Fox and Albert Brooks, Iris Apatow, Maude Apatow, Melissa McCarthy, Robert Smigel, Charlyne Yi",Comedy,Universal Pictures,21-Dec
This Means War,McG,"Tom Hardy, Chris Pine, Reese Witherspoon, Chelsea Handler, Abigail Spencer, Til Schweiger,Laura Vandervoort, Leela Savasta, Angela Bassett","Comedy, Spy film",20th Century Fox,17-Feb
Thunderstruck,John Whitesell,"Kevin Durant, Taylor Gray, Brandon T. Jackson, Doc Shaw and Jim Belushi","Family,Sports comedy",Warner Premiere,24-Aug
Titanic 3D,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Francis Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Eric Braeden, Bernard Fox,Suzy Amis, Danny Nucci, Lewis Abernathy, Nicholas Cascone",Drama,"Paramount Pictures, 20th Century Fox,Lightstorm Entertainment",April 4
Total Recall,Len Wiseman,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, John Cho and Bill Nighy, Bokeem Woodbine","Action thriller, Science fiction",Columbia Pictures,3-Aug
,,,,Inspired byWe Can Remember It for You Wholesale byPhilip K. Dick
Touchback,Don Handfield,"Brian Presley, Melanie Lynskey, Marc Blucas, with Kurt Russell and Christine Lahti, Sarah Wright, Sianoa Smit-McPhee, Drew Powell, Kevin Covais, Steve Turner, James Duval",Drama,Anchor Bay Films,April 13
Trouble with the Curve,Robert Lorenz,"Clint Eastwood, Amy Adams, Justin Timberlake and John Goodman, Matthew Lillard, Scott Eastwood","Drama,Sports",Warner Bros. Pictures,21-Sep
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Nikki Reed, Peter Facinelli, Elizabeth Reaser,Ashley Greene, Kellan Lutz, Jackson Rathbone, Julia Jones, Booboo Stewart, Billy Burke, Sarah Clarke, MyAnna Buring, Maggie Grace, Casey LaBow, Michael Sheen, Jamie Campbell Bower,Christopher Heyerdahl, Chaske Spencer, Christian Camargo, Mía Maestro, Mackenzie Foy,Dakota Fanning, Cameron Bright, Charlie Bewley, Daniel Cudmore, Noel Fisher, Guri Weinberg, Lee Pace, Joe Anderson, Judi Shekoni, Tracey Huggins, J. D. Pardo, Rami Malek",Fantasy romance,"Lionsgate,Summit Entertainment",16-Nov
,,,,Based onBreaking Dawn byStephenie Meyer
,,,,Preceded byThe Twilight Saga: Breaking Dawn - Part 1(2011)
Underworld: Awakening,Måns Mårlindand Björn Stein,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James, India Eisley and Charles Dance","Action, Horror","Screen Gems,Lakeshore Entertainment",20-Jan
,,,,Preceded byUnderworld: Rise of the Lycans (2009)
V/H/S,"Adam Wingard, David Bruckner,Ti West, Glenn McQuaid, Joe Swanberg,Radio Silence",A series of found-footage shorts.,"Anthology, Horror","Magnolia Pictures,Magnet Releasing",5-Oct
Virginia,Dustin Lance Black,"Jennifer Connelly, Ed Harris, Emma Roberts, Harrison Gilbertson, Amy Madigan, Carrie Prestonand Toby Jones",Dramedy,Entertainment One,18-May
Wanderlust,David Wain,"Paul Rudd, Jennifer Aniston, Justin Theroux, Malin Åkerman, Kathryn Hahn, Lauren Ambroseand Alan Alda",Comedy,"Universal Pictures,Relativity Media, Apatow Productions,Alliance Films",24-Feb
What to Expect When You're Expecting,Kirk Jones,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford, Brooklyn Decker, Anna Kendrick, Matthew Morrison, Dennis Quaid, Chris Rock, Rodrigo Santoro",Romantic comedy,"Lionsgate,Alcon Entertainment",18-May
,,,,Based on the self-help book of the same name by Heidi Murkoff and Sharon Mazel
Won't Back Down,Daniel Barnz,"Maggie Gyllenhaal, Viola Davis, Oscar Isaac, Rosie Perez, Ving Rhames, Marianne Jean-Baptiste and Holly Hunter",Drama,"20th Century Fox, Walden Media",28-Sep
Wrath of the Titans,Jonathan Liebesman,"Sam Worthington, Rosamund Pike, Bill Nighy, Édgar Ramírez, Toby Kebbell, Danny Huston, with Ralph Fiennes and Liam Neeson","Action-adventure, Fantasy","Warner Bros. Pictures,Legendary Pictures",30-Mar
,,,,Preceded byClash of the Titans (2010)
Wreck-It Ralph,Rich Moore,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk, Mindy Kaling, Joe Lo Truglio, Ed O'Neill, Dennis Haysbert, Adam Carolla, Horatio Sanz, and Rich Moore","Animated,Comedy,Family","Walt Disney Pictures, Walt Disney Animation Studios",2-Nov
Zero Dark Thirty,Kathryn Bigelow,"Jessica Chastain, Jason Clarke, Joel Edgerton, Mark Strong, Chris Pratt, Kyle Chandler, Taylor Kinney, Mark Duplass, Frank Grillo, Stephen Dillane, Édgar Ramírez, Harold Perrineau, Reda Kateb, Jennifer Ehle, James Gandolfini, Scott Adkins, Mark Valley, Ricky Sekhon, John Barrowman",Action thriller,Columbia Pictures,21-Dec
2 Guns,Baltasar Kormakur,"Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton, Fred Ward, James Marsden and Edward James Olmos",Action comedy,Universal Pictures,2-Aug,61 / 132
,,,,Based on the Boom! Studios graphic novels bySteven Grant
12 Rounds 2: Reloaded,Roel Reiné,"Randy Orton, Brian Markinson, Venus Terzo",Action,"20th Century Fox, WWE Studios",4-Jun,N/A
,,,,Direct-to-video
12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Dano, Paul Giamatti, Lupita Nyong'o,Sarah Paulson, Brad Pitt, Alfre Woodard",Drama,Fox Searchlight Pictures,18-Oct,20 / 188
,,,,Based on the autobiography of the same name by Solomon Northup
20 Feet from Stardom,Morgan Neville,A look at the lives of background singers.,Documentary,The Weinstein Company,14-Jun,N/A
21 and Over,Jon Lucas andScott Moore,"Miles Teller, Skylar Astin, Justin Chon, Sarah Wright",Comedy,Relativity Media,1-Mar,13 / 46
3 Geezers!,Michelle Schumacher,"JK Simmons, Basil Hoffman, Tim Allen, Scott Caan, Breckin Meyer",Comedy,Gravitas Ventures,22-May,N/A
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Craig Moss,"Kathryn Fiore, Ben Morrison, French Stewart","Comedy,Parody","20th Century Fox, Direct-to-video",15-Jan,N/A
42,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Christopher Meloni, John C. McGinley, Lucas Black, Alan Tudyk, Nicole Beharie, C. J. Nitkowski, Brett Cullen, Kelley Jakle, Ryan Merriman, T. R. Knight, Hamish Linklater","Bio-pic, Sports","Warner Bros. Pictures,Legendary Pictures",April 12,40 / 95
47 Ronin,Carl Erik Rinsch,"Keanu Reeves, Tadanobu Asano, Hiroyuki Sanada, Rinko Kikuchi, Kou Shibasaki, Jin Akanishi, Min Tanaka, Cary-Hiroyuki Tagawa","Action,Fantasy",Universal Pictures,25-Dec,175 / 151
9 Full Moons,Tomer Almagor,"Amy Seimetz, Bret Roberts, Donal Logue",Drama,Clever Creatures,6-Jun,N/A
The ABCs of Death,See List of segments,"A collection of 26 individual chapters, each aligned with a letter of the alphabet.","Anthology,Horror","Magnet Releasing,Drafthouse Films",8-Mar,N/A
Abandoned Mine,Jeff Chamberlain,"Alex Vega, Reiley McClendon, Saige Thompson",Horror,Gravitas Entertainment,15-Aug,N/A
A.C.O.D.,Stu Zicherman,"Adam Scott, Amy Poehler, Jessica Alba, Jane Lynch, Richard Jenkins",Comedy,Paramount Home Media Distribution,4-Oct,N/A
Admission,Paul Weitz,"Paul Rudd, Tina Fey, Michael Sheen, Wallace Shawn andLily Tomlin",Dramedy,Focus Features,22-Mar,13 / 18
,,,,Based on the novel of the same name by Jean Hanff Korelitz
After Earth,M. Night Shyamalan,"Jaden Smith, Will Smith","Action, Sci-Fi","Columbia Pictures,Overbrook Entertainment",31-May,130 / 244
Aftershock,Nicolás López,"Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko,Nicolás Martínez, Lorenza Izzo",Horror-thriller,Dimension Films,10-May,2 / .06
Ain't Them Bodies Saints,David Lowery,"Casey Affleck, Rooney Mara, Ben Foster, Rami Malek andKeith Carradine, Charles Baker, Nate Parker",Western,IFC Films,16-Aug,N/A / 0.4
All Is Lost,J. C. Chandor,Robert Redford,Survival,Lionsgate,18-Oct,N/A / 6
Alone Yet Not Alone,Ray Bengston and George D Escobar,"Kelly Greyson, Natalie Racoosin, Jenn Gotzon, Clay Walker",Drama,Enthuse Entertainment,27-Sep,N/A
American Hustle,David O. Russell,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Rennerand Jennifer Lawrence",Crime,Columbia Pictures,13-Dec,40 / 251
Anchorman 2: The Legend Continues,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, David Koechner, Steve Carell, Kristen Wiig, James Marsden, Dylan Baker, Meagan Good, Harrison Ford, Greg Kinnear, Josh Lawson, Vince Vaughn, Luke Wilson, Nicole Kidman, Fred Willard, Chris Parnell, Fred Armisen, Jim Carrey, Sacha Baron Cohen, Drake, Kirsten Dunst, Tina Fey, Will Smith,Liam Neeson, Amy Poehler, John C. Reilly, Kanye West,Billie Joe Armstrong, Mike Dirnt, Tre Cool, Jason White,Lewis Hamilton",Comedy,Paramount Pictures,20-Dec,50 / 174
,,,,Preceded by Anchorman: The Legend of Ron Burgundy (2004)
Angels Sing,Tim McCanlies,"Harry Connick, Jr., Connie Britton, Chandler Canterbury,Fionnula Flanagan, Lyle Lovett, Willie Nelson, Kris Kristofferson",Drama,Lionsgate,1-Nov,N/A
Apartment 1303 3D,Michael Taverna,"Mischa Barton, Rebecca De Mornay, Julianne Michelle",Horror,Gravitas Ventures,25-Jul,N/A
,,,,Remake of the Japanese film of the same name(2007)
Apocalypse Earth,Thunder Levin,"Adrian Paul, Richard Grieco, Bali Rodriguez",Sci-Fi,"The Asylum, Direct-to-video",28-Mar,N/A
At Any Price,Ramin Bahrani,"Dennis Quaid, Zac Efron, Kim Dickens, Heather Graham,Clancy Brown",Drama,Sony Pictures Classics,April 24,N/A
Arthur Newman,Dante Ariola,"Colin Firth, Emily Blunt, Anne Heche, Sterling Beaumon,Nicole LaLiberte",Drama,Cinedigm Entertainment,April 26,N/A
Artifact,Jared Leto,The making of Thirty Seconds to Mars' album This Is War,Documentary,FilmBuff,3-Dec,N/A
Ass Backwards,Chris Nelson,"June Diane Raphael, Casey Wilson, Alicia Silverstone, Jon Cryer, Vincent D'Onofrio, Brian Geraghty, Bob Odenkirk,Paul Scheer",Comedy,Gravitas Ventures,8-Nov,N/A
Assault on Wall Street,Uwe Boll,"Dominic Purcell, Erin Karpluk, Edward Furlong, Jon Heard,Keith David, Michael Pare",Thriller,Phase 4 Films,5-Oct,N/A
August: Osage County,John Wells,"Meryl Streep, Julia Roberts, Ewan McGregor, Chris Cooper,Abigail Breslin, Benedict Cumberbatch, Juliette Lewis, Margo Martindale, Dermot Mulroney, Julianne Nicholson, Sam Shepard, Misty Upham",Dark comedy,The Weinstein Company,25-Dec,N/A / 74
,,,,Based on the stage play of the same name by Tracy Letts
Baggage Claim,David E. Talbert,"Paula Patton, Derek Luke, Taye Diggs, Jill Scott, Boris Kodjoe, Trey Songz, Adam Brody, Tia Mowry, Lala Anthonyand Djimon Hounsou",Comedy,Fox Searchlight Pictures,27-Sep,N/A / 23
Battle of the Year,Benson Lee,"Josh Holloway, Laz Alonso, Josh Peck, Caity Lotz and Chris Brown","Dance, Drama",Screen Gems,20-Sep,20 / 16
,,,,Based on the documentary Planet B-Boyby Benson Lee
The Baytown Outlaws,Barry Battles,"Andre Braugher, Eva Longoria, Clayne Crawford, Daniel Cudmore, Travis Fimmel, Billy Bob Thornton",Action,Phase 4 Films,11-Jan
Beautiful Creatures,Richard LaGravenese,"Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis,Emmy Rossum, Thomas Mann and Emma Thompson",Fantasy romance,Alcon Entertainment,14-Feb,60 / 60
,,,,Based on the novel of thesame name by Kami Garcia and Margaret Stohl
Before Midnight,Richard Linklater,"Ethan Hawke, Julie Delpy",Romantic drama,Sony Pictures Classics,24-May,N/A / 11
,,,,Preceded by Before Sunset (2004)
Behind the Candelabra,Steven Soderbergh,"Michael Douglas, Matt Damon, Dan Aykroyd, Scott Bakula,Rob Lowe","Bio-pic, Drama",HBO Films,26-May,N/A
,,,,Based on the novelBehind the Candelabra: My Life with Liberace byScott Thorson
Beneath,Larry Fessenden,"Daniel Zovatto, Bonnie Dennison, Chris Conroy, Jonny Orsini",Horror,Shout! Factory,3-May,N/A
Beside Still Waters,Chris Lowell,"Ryan Eggold, Britt Lower, Brett Dalton",Comedy,Storyboard Entertainment,12-Oct,N/A
Best Kept Secret,Samantha Buck,A special education teacher finds a place in the real world for her students as they prepare to leave the public school system.,Documentary,,4-May,N/A
Best Man Down,Ted Koland,"Justin Long, Tyler Labine, Jess Weixler, Addison Timlin,Frances O'Connor and Shelly Long",Comedy-drama,Magnolia Pictures,8-Nov,N/A
The Best Man Holiday,Malcolm D. Lee,"Morris Chestnut, Taye Diggs, Regina Hall, Terrence Howard,Sanaa Lathan, Nia Long, Harold Perrineau, Monica Calhoun,Melissa De Sousa",Romantic comedy,Universal Pictures,15-Nov,17 / 72
,,,,Preceded by The Best Man (1999)
Beyond the Farthest Star,Andrew Librizzi,"Renée O'Connor, Todd Terry, Cherami Leigh, Andrew Prine",Drama,Pathlight Entertainment,18-Oct,N/A
Big Ass Spider!,Mike Mendez,"Greg Grunberg, Lin Shaye, Patrick Bauchau",Sci-Fi,Paramount Pictures,18-Oct,N/A
Big Sur,Michael Polish,"Josh Lucas, Jean-Marc Barr, Radha Mitchell",Drama,Based on the novel of thesame name by Jack Kerouac,1-Nov,N/A
The Big Wedding,Justin Zackham,"Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried, Topher Grace, Ben Barnes, Susan Sarandon,Robin Williams",Romantic comedy,"Lionsgate, Millennium Films",April 26,35 / 22
Black Nativity,Kasi Lemmons,"Forest Whitaker, Angela Bassett, Tyrese Gibson, Jacob Latimore, Mary J. Blige, Nasir Jones and Jennifer Hudson",Musical drama,Fox Searchlight Pictures,27-Nov,7?17?
,,,,Based on The Nativity byLangston Hughes
Blackfish,Gabriela Cowperthwaite,"Focuses on an orca held at SeaWorld, and the dangers of it being kept in captivity.",Documentary,Magnolia Pictures,19-Jul,N/A
